formula,count
hive,1
yazpp,1
superlu,1
sratom,1
libspectrum,1
i686-elf-binutils,1
enet,1
opensaml,1
cln,1
asio,1
peg,1
spice-protocol,1
usbredir,1
chezscheme,1
libcerf,1
ykclient,1
chruby,1
fish,1
opencolorio,1
wdiff,1
xxhash,1
mp4v2,1
libtorch,1
oath-toolkit,1
fizz,1
ghc,1
rarian,1
libstfl,1
fplll,1
mpfi,1
librem,1
libcbor,1
vde,1
nmap,1
fping,1
crf++,1
innoextract,1
geocode-glib,1
advancecomp,1
jpegoptim,1
optipng,1
goffice,1
libgnomecanvas,1
rebar3,1
gssdp,1
cpptest,1
uriparser,1
libaio,1
eiffelstudio,1
czmq,1
mecab-ko,1
antlr@2,1
protobuf@3.6,1
gupnp,1
gupnp-av,1
concurrencykit,1
jlog,1
libsigc++,1
jp2a,1
vips,1
httpd,1
libnxml,1
eccodes,1
polyglot,1
libstxxl,1
neko,1
quvi,1
libxxf86vm,1
loki,1
libfabric,1
mpi4py,1
libart,1
antlr,1
shadowsocks-libev,1
gpac,1
jerasure,1
libpano,1
libetpan,1
perl-build,1
librttopo,1
fairymax,1
mariadb-connector-c,1
ccache,1
libvo-aacenc,1
protobuf@3.7,1
cmu-sphinxbase,1
xcb-util,1
xmlto,1
guile@2,1
libmusicbrainz,1
unac,1
gcab,1
unar,1
plotutils,1
yuicompressor,1
ansible,1
libiscsi,1
exact-image,1
psutils,1
dcmtk,1
libidl,1
libmaa,1
libgphoto2,1
jbig2enc,1
pngquant,1
qpdf,1
dbus-glib,1
orbit,1
ampl-mp,1
dmenu,1
libkate,1
juju-wait,1
pwgen,1
duplicity,1
userspace-rcu,1
cvs,1
redland,1
gambit-scheme,1
libofx,1
libb64,1
libowfat,1
fakeroot,1
cxxtest,1
sdl2_gfx,1
aften,1
libmtp,1
qdbm,1
libxkbcommon,1
couchdb,1
apache-spark,1
elasticsearch@6,1
fontforge,1
potrace,1
t1utils,1
halibut,1
cpprestsdk,1
gf-complete,1
bower,1
memcached,1
po4a,1
recode,1
feh,1
xqilla,1
libupnp,1
libnfs,1
libnfnetlink,1
libmnl,1
ucspi-tcp,1
daemontools,1
gperf,1
subversion,1
crystal,1
nqp,1
libtorrent-rasterbar,1
mcpp,1
libmetalink,1
mhash,1
libmemcached,1
help2man,1
libfontenc,1
hamlib,1
goocanvas,1
libmonome,1
asciidoc,1
libagg,1
cscope,1
mlkit,1
rhash,1
htmlcxx,1
devil,1
rcs,1
influxdb,1
utf8cpp,1
libscrypt,1
mcrypt,1
libdv,1
allegro,1
amtk,1
icon,1
llvm@7,1
libgxps,1
two-lame,1
xbitmaps,1
linux-headers,1
audiofile,1
libxc,1
clingo,1
kapacitor,1
dotnet,1
jthread,1
hfstospell,1
tomcat,1
irrlicht,1
libbtbb,1
ensmallen,1
libident,1
gnu-prolog,1
xorgrgb,1
npth,1
libksba,1
tree,1
loudmouth,1
numpy@1.16,1
libinfinity,1
bats-core,1
pgrouting,1
libpqxx@6,1
libbitcoin-client,1
diffutils,1
libdmtx,1
libbitcoin-node,1
libestr,1
flint,1
uudeview,1
intltool,1
screenresolution,1
ffms2,1
zurl,1
mongrel2,1
condure,1
mlt,1
etl,1
laszip,1
libpciaccess,1
libbitcoin-blockchain,1
daq,1
libgnt,1
smpeg,1
gputils,1
knot,1
tinysvm,1
libsass,1
libserdes,1
groovy,1
libfaketime,1
desktop-file-utils,1
argtable,1
atomicparsley,1
s3cmd,1
mysql@5.7,1
libkeccak,1
ripgrep,1
pcsc-lite,1
libreadline-java,1
coq,1
openal-soft,1
haxe,1
libxslt,1
ktoblzcheck,1
gwenhywfar,1
libxdamage,1
openssl,1
freeglut,1
libxdmcp,1
libpthread-stubs,1
octomap,1
libu2f-server,1
libu2f-host,1
gerbv,1
dcraw,1
xmltoman,1
libwps,1
libwpg,1
libodfgen,1
libpqxx,1
parallel,1
libosip,1
readosm,1
libspiro,1
libuninameslist,1
airspy,1
zbar,1
libdc1394,1
cabal-install,1
beagle,1
lrzsz,1
rocksdb,1
lldpd,1
libatomic_ops,1
aalib,1
vte3,1
gdl,1
libopusenc,1
gdcm,1
kde-karchive,1
libsmi,1
riemann-client,1
libopenmpt,1
cmake,1
cabextract,1
xdelta,1
snap,1
lxc,1
getdns,1
fzf,1
libreplaygain,1
libcuefile,1
librest,1
libcanberra,1
gnuradio,1
librtlsdr,1
libmp3splt,1
libtorrent-rakshasa,1
somagic-tools,1
srecord,1
open-sp,1
babl,1
osx-cpu-temp,1
sundials,1
qscintilla2,1
pstoedit,1
graphicsmagick,1
fig2dev,1
epstool,1
embree,1
camlp5,1
libgit2-glib,1
libvncserver,1
gtkspell3,1
sfcgal,1
dnsmasq,1
libpsl,1
wasmer,1
liblcf,1
blitz,1
icecream,1
libde265,1
opencascade,1
newt,1
libressl,1
ocaml-num,1
gnome-autoar,1
moarvm,1
x86_64-elf-binutils,1
ipython,1
urdfdom,1
open-scene-graph,1
ipopt,1
fcl,1
libdaemon,1
ttyrec,1
libdsk,1
capstone,1
glslang,1
wolfssl,1
saxon,1
rustup-init,1
libextractor,1
wiiuse,1
filebeat,1
stk,1
faust,1
mysql,1
duktape,1
xkeyboardconfig,1
yaf,1
rclone,1
git-annex,1
aterm,1
zimg,1
ragel,1
libdshconfig,1
charm,1
shapelib,1
rabbitmq-c,1
yamllint,1
libimagequant,1
wireguard-go,1
h2o,1
cdb,1
swift-protobuf,1
stoken,1
libusbmuxd,1
libgaiagraphics,1
ninja,1
imagemagick@6,1
cpanminus,1
ocaml-findlib,1
openslide,1
libspng,1
tlx,1
p11-kit,1
aws-iam-authenticator,1
urdfdom_headers,1
console_bridge,1
libbitcoin-database,1
libbitcoin-consensus,1
xrootd,1
davix,1
helm@2,1
botan,1
gts,1
libstrophe,1
libsignal-protocol-c,1
typescript,1
pngcrush,1
