formula,count_regular,percent_regular,os,n_days,count_on_request,percent_on_request,pct_on_request
microsoft/mssql-release/mssql-tools,3566,0.01,macos,30,3536,0.04,99.15872125630959
avro-c,3560,0.01,macos,30,109,0.0,3.061797752808989
podman,3551,0.01,macos,30,3507,0.04,98.7609124190369
typescript,3522,0.01,macos,30,3468,0.04,98.46678023850085
ghc,3498,0.01,macos,30,1751,0.02,50.05717552887364
scipy,3493,0.01,macos,30,2958,0.03,84.68365302032636
zimg,3490,0.01,macos,30,57,0.0,1.6332378223495703
cowsay,3488,0.01,macos,30,3346,0.04,95.9288990825688
axel,3454,0.01,macos,30,3188,0.04,92.29878401852925
broot,3449,0.01,macos,30,3444,0.04,99.85503044360684
cscope,3443,0.01,macos,30,475,0.01,13.796108045309325
libusb-compat,3406,0.01,macos,30,572,0.01,16.793893129770993
sshuttle,3395,0.01,macos,30,3261,0.04,96.05301914580265
epstool,3391,0.01,macos,30,245,0.0,7.225007372456503
libressl,3390,0.01,macos,30,2318,0.03,68.37758112094396
conan,3352,0.01,macos,30,3248,0.04,96.89737470167064
pgcli,3344,0.01,macos,30,3340,0.04,99.88038277511961
augeas,3310,0.01,macos,30,248,0.0,7.492447129909366
pinentry-mac,3276,0.01,macos,30,3204,0.04,97.8021978021978
scons,3273,0.01,macos,30,2076,0.02,63.42804766269477
angular-cli,3270,0.01,macos,30,3258,0.04,99.63302752293578
fltk,3264,0.01,macos,30,404,0.0,12.377450980392158
wireguard-go,3250,0.01,macos,30,479,0.01,14.73846153846154
cython,3235,0.01,macos,30,2064,0.02,63.80216383307573
gtk-mac-integration,3193,0.01,macos,30,904,0.01,28.31193235202004
rename,3192,0.01,macos,30,3146,0.04,98.55889724310777
emscripten,3180,0.01,macos,30,1653,0.02,51.981132075471706
libxinerama,3167,0.01,macos,30,16,0.0,0.5052099778970635
cassandra,3158,0.01,macos,30,3106,0.04,98.35338822039266
libmatio,3157,0.01,macos,30,449,0.01,14.222363002850807
kind,3155,0.01,macos,30,3154,0.04,99.96830427892235
leiningen,3154,0.01,macos,30,3094,0.04,98.09765377298667
libxslt,3152,0.01,macos,30,2952,0.03,93.65482233502537
hyperkit,3106,0.01,macos,30,3090,0.04,99.48486799742435
you-get,3096,0.01,macos,30,3082,0.04,99.54780361757106
pv,3095,0.01,macos,30,2937,0.03,94.89499192245557
mcrypt,3093,0.01,macos,30,1020,0.01,32.97769156159069
swi-prolog,3091,0.01,macos,30,3038,0.04,98.28534454868975
istioctl,3080,0.01,macos,30,3057,0.04,99.25324675324674
hidapi,3073,0.01,macos,30,930,0.01,30.26358607224211
boost-python3,3067,0.01,macos,30,1962,0.02,63.97130746657972
